type,sec,sample
true,0.0859375,11
true,1.125,144
true,2.09375,268
true,3.015625,386
true,4.0078125,513
true,5.1796875,663
true,6.390625,818
true,7.5859375,971
true,8.7421875,1119
true,9.8359375,1259
true,10.8828125,1393
true,11.8984375,1523
true,12.921875,1654
true,13.9453125,1785
true,15.015625,1922
true,16.1328125,2065
true,17.3359375,2219
true,18.2890625,2341
true,19.15625,2452
true,20.1875,2584
true,21.265625,2722
true,22.2734375,2851
true,23.2890625,2981
true,24.34375,3116
true,25.46875,3260
true,26.6328125,3409
true,27.7734375,3555
true,28.890625,3698
true,29.984375,3838
true,31.03125,3972
true,32.125,4112
true,33.28125,4260
true,34.421875,4406
true,35.5546875,4551
true,36.6953125,4697
true,37.8125,4840
true,38.9296875,4983
true,40.0859375,5131
true,41.2890625,5285
true,42.4921875,5439
true,43.65625,5588
true,44.84375,5740
true,46.046875,5894
true,47.2734375,6051
true,48.4921875,6207
true,49.6796875,6359
true,50.859375,6510
true,52.0625,6664
true,53.28125,6820
true,54.4921875,6975
true,55.7109375,7131
true,56.9140625,7285
true,58.109375,7438
true,59.328125,7594
true,60.5625,7752
true,61.71875,7900
true,62.9453125,8057
true,64.140625,8210
true,65.1875,8344
true,66.1640625,8469
true,67.1640625,8597
true,68.625,8784
true,69.9140625,8949
true,71.21875,9116
true,72.3671875,9263
true,73.421875,9398
true,74.4453125,9529
true,75.46875,9660
true,76.6015625,9805
true,77.9375,9976
true,79.1875,10136
true,80.359375,10286
true,81.5234375,10435
true,82.6640625,10581
true,83.875,10736
true,84.9609375,10875
true,86.0390625,11013
true,87.1015625,11149
true,88.1796875,11287
true,89.4296875,11447
true,90.7578125,11617
true,91.96875,11772
true,93.1640625,11925
true,94.3203125,12073
true,95.4609375,12219
true,96.6171875,12367
true,97.78125,12516
true,98.96875,12668
true,100.2109375,12827
true,101.4140625,12981
true,102.5859375,13131
true,103.7578125,13281
true,104.9375,13432
true,106.09375,13580
true,107.3203125,13737
true,108.5390625,13893
true,109.7109375,14043
true,110.890625,14194
true,112.046875,14342
true,113.203125,14490
true,114.3203125,14633
true,115.3828125,14769
true,116.546875,14918
true,117.8671875,15087
true,119.15625,15252
true,120.40625,15412
true,121.640625,15570
true,122.8671875,15727
true,124.1171875,15887
true,125.265625,16034
true,126.359375,16174
true,127.484375,16318
true,128.828125,16490
true,130.15625,16660
true,131.375,16816
true,132.59375,16972
true,133.6640625,17109
true,134.703125,17242
true,135.84375,17388
true,137.046875,17542
true,138.1953125,17689
true,139.28125,17828
true,140.4140625,17973
true,141.53125,18116
true,142.6171875,18255
true,143.7265625,18397
true,144.8984375,18547
true,146.1171875,18703
true,147.2734375,18851
true,148.4140625,18997
true,149.5546875,19143
true,150.65625,19284
true,151.7578125,19425
true,152.8671875,19567
true,154.015625,19714
true,155.140625,19858
true,156.234375,19998
true,157.3359375,20139
true,158.4375,20280
true,159.5859375,20427
true,160.859375,20590
true,162.109375,20750
true,163.328125,20906
true,164.4609375,21051
true,165.6171875,21199
true,166.8671875,21359
true,168.1875,21528
true,169.484375,21694
true,170.78125,21860
true,172.015625,22018
true,173.234375,22174
true,174.484375,22334
true,175.765625,22498
true,177.0546875,22663
true,178.328125,22826
true,179.453125,22970
true,180.5078125,23105
true,181.578125,23242
true,183.1484375,23443
true,184.578125,23626
true,185.796875,23782
true,187.0390625,23941
true,188.3046875,24103
true,189.5390625,24261
true,190.71875,24412
true,191.9296875,24567
true,193.15625,24724
true,194.4296875,24887
true,195.65625,25044
true,196.875,25200
true,198.109375,25358
true,199.34375,25516
true,200.5625,25672
true,201.78125,25828
true,203.046875,25990
true,204.25,26144
true,205.4765625,26301
true,206.5859375,26443
true,207.5859375,26571
true,208.609375,26702
true,209.7734375,26851
true,210.7109375,26971
true,211.6796875,27095
true,212.71875,27228
true,213.640625,27346
true,214.609375,27470
true,215.8828125,27633
true,217.0,27776
true,218.0390625,27909
true,219.0390625,28037
true,220.1171875,28175
true,221.3671875,28335
true,222.5703125,28489
true,223.734375,28638
true,224.8203125,28777
true,225.84375,28908
true,226.828125,29034
true,227.859375,29166
true,229.0703125,29321
true,230.4296875,29495
true,231.7421875,29663
true,232.9765625,29821
true,234.1640625,29973
true,235.328125,30122
true,236.4921875,30271
true,237.625,30416
true,238.6953125,30553
true,239.703125,30682
true,240.703125,30810
true,241.8046875,30951
true,243.03125,31108
true,244.3046875,31271
true,245.5234375,31427
true,246.6484375,31571
true,247.703125,31706
true,248.75,31840
true,249.78125,31972
true,250.7890625,32101
true,251.75,32224
true,252.6953125,32345
true,253.71875,32476
true,254.9609375,32635
true,256.2578125,32801
true,257.4453125,32953
true,258.578125,33098
true,259.546875,33222
true,260.390625,33330
true,261.203125,33434
true,262.515625,33602
true,263.578125,33738
true,264.6328125,33873
true,265.78125,34020
true,267.046875,34182
true,268.296875,34342
true,269.46875,34492
true,270.6015625,34637
true,271.71875,34780
true,272.8125,34920
true,273.875,35056
true,274.8671875,35183
true,275.8125,35304
true,276.7734375,35427
true,277.8671875,35567
true,279.1953125,35737
true,280.4765625,35901
true,281.71875,36060
true,282.9140625,36213
true,284.0625,36360
true,285.1953125,36505
true,286.3125,36648
true,287.4453125,36793
true,288.59375,36940
true,289.75,37088
true,290.8828125,37233
true,291.9375,37368
true,292.953125,37498
true,294.0,37632
true,295.1796875,37783
true,296.4765625,37949
true,297.7421875,38111
true,298.9375,38264
true,300.0859375,38411
true,301.21875,38556
true,302.3984375,38707
true,303.625,38864
true,304.8203125,39017
true,306.0078125,39169
true,307.21875,39324
true,308.40625,39476
true,309.515625,39618
true,310.6015625,39757
true,311.8515625,39917
true,313.1875,40088
true,314.4609375,40251
true,315.7421875,40415
true,316.9765625,40573
true,318.1796875,40727
true,319.3125,40872
true,320.546875,41030
true,321.8359375,41195
true,323.1015625,41357
true,324.375,41520
true,325.6015625,41677
true,326.796875,41830
true,328.0,41984
true,329.265625,42146
true,330.609375,42318
true,331.921875,42486
true,333.2109375,42651
true,334.515625,42818
true,335.78125,42980
true,337.015625,43138
true,338.3125,43304
true,339.5078125,43457
true,340.609375,43598
true,341.609375,43726
true,342.5859375,43851
true,344.0859375,44043
true,345.4921875,44223
true,346.796875,44390
true,347.875,44528
true,348.9453125,44665
true,350.0390625,44805
true,351.109375,44942
true,352.2578125,45089
true,353.390625,45234
true,354.484375,45374
